nomor,word,frekuensi,ln
1150,pesawat,9,-7.488 
1151,gimana,33,-6.265 
1152,raja,3,-8.405 
1153,terang,5,-7.999 
1154,belagu,10,-7.393 
1155,sariawan,3,-8.405 
1156,blur,3,-8.405 
1157,asli,22,-6.655 
1158,ngapain,24,-6.572 
1159,pipi,10,-7.393 
1160,ikut,20,-6.746 
1161,sanggup,5,-7.999 
1162,xd,10,-7.393 
1163,psti,4,-8.182 
1164,belakang,9,-7.488 
1165,bersih,4,-8.182 
1166,paopao,20,-6.746 
1167,nang,10,-7.393 
1168,malas,5,-7.999 
1169,mahal,120,-4.995 
1170,jahat,13,-7.152 
1171,tanboy,46,-5.941 
1172,like,40,-6.077 
1173,solat,6,-7.845 
1174,aneh,29,-6.390 
1175,know,3,-8.405 
1176,aurat,28,-6.424 
1177,lahh,3,-8.405 
1178,sendok,3,-8.405 
1179,kamar,33,-6.265 
1180,waw,4,-8.182 
1181,lahir,3,-8.405 
1182,sendal,5,-7.999 
1183,opening,10,-7.393 
1184,edho,34,-6.236 
1185,cinta,9,-7.488 
1186,tatto,3,-8.405 
1187,manfaat,6,-7.845 
1188,scene,4,-8.182 
1189,kasihan,23,-6.613 
1190,kevin,3,-8.405 
1191,nyokap,6,-7.845 
1192,munafik,4,-8.182 
1193,sumpahh,3,-8.405 
1194,nyerah,7,-7.711 
1195,doi,4,-8.182 
1196,cap,3,-8.405 
1197,salam,4,-8.182 
1198,gmna,5,-7.999 
1199,dewasa,12,-7.226 
1200,bentuk,4,-8.182 
1201,pantes,10,-7.393 
1202,komentar,7,-7.711 
1203,cium,13,-7.152 
1204,lele,4,-8.182 
1205,kembali,4,-8.182 
1206,bapak,40,-6.077 
1207,lemak,3,-8.405 
1208,bakso,22,-6.655 
1209,kepala,13,-7.152 
1210,jennie,20,-6.746 
1211,tunggu,8,-7.594 
1212,bego,19,-6.795 
1213,next,5,-7.999 
1214,ninja,7,-7.711 
1215,amet,6,-7.845 
1216,puasa,14,-7.083 
1217,palevi,9,-7.488 
1218,dikacangin,3,-8.405 
1219,kedengeran,4,-8.182 
1220,harta,5,-7.999 
1221,mr,3,-8.405 
1222,tetek,8,-7.594 
1223,nyentuh,3,-8.405 
1224,mcm,5,-7.999 
1225,mohon,8,-7.594 
1226,abang,25,-6.533 
1227,naik,28,-6.424 
1228,doang,48,-5.899 
1229,inggris,3,-8.405 
1230,auto,11,-7.306 
1231,megan,14,-7.083 
1232,kedikit,28,-6.424 
1233,tenang,6,-7.845 
1234,romantis,4,-8.182 
1235,ngak,24,-6.572 
1236,liatin,9,-7.488 
1237,pentil,3,-8.405 
1238,jdi,19,-6.795 
1239,transportasi,3,-8.405 
1240,film,5,-7.999 
1241,hahahahha,3,-8.405 
1242,bau,46,-5.941 
1243,laki,15,-7.018 
1244,samyangnya,14,-7.083 
1245,sadar,7,-7.711 
1246,jenis,4,-8.182 
1247,bayar,12,-7.226 
1248,bikin,101,-5.166 
1249,sepatu,216,-4.411 
1250,objek,3,-8.405 
1251,banding,5,-7.999 
1252,megang,7,-7.711 
1253,gelap,53,-5.802 
1254,kameramen,17,-6.901 
1255,hina,5,-7.999 
1256,alqur,3,-8.405 
1257,keras,5,-7.999 
1258,turun,8,-7.594 
1259,minggu,5,-7.999 
1260,rusak,29,-6.390 
1261,bner,4,-8.182 
1262,mie,51,-5.840 
1263,bibir,13,-7.152 
1264,yoo,3,-8.405 
1265,cowo,12,-7.226 
1266,diliatin,3,-8.405 
1267,anjirrr,3,-8.405 
1268,kubur,5,-7.999 
1269,what,3,-8.405 
1270,cerewet,3,-8.405 
1271,pengab,3,-8.405 
1272,nyebelin,7,-7.711 
1273,karung,5,-7.999 
1274,dp,17,-6.901 
1275,mampir,3,-8.405 
1276,sule,11,-7.306 
1277,tipis,6,-7.845 
1278,tiba,6,-7.845 
1279,blg,4,-8.182 
1280,salma,8,-7.594 
1281,pda,4,-8.182 
1282,good,3,-8.405 
1283,cowonya,3,-8.405 
1284,crim,3,-8.405 
1285,pokok,3,-8.405 
1286,hadiah,3,-8.405 
1287,samping,3,-8.405 
1288,hidup,21,-6.700 
1289,kandang,4,-8.182 
1290,ngentot,15,-7.018 
1291,lina,28,-6.424 
1292,gemes,4,-8.182 
1293,negara,12,-7.226 
1294,piring,3,-8.405 
1295,koq,8,-7.594 
1296,miris,4,-8.182 
1297,langsung,33,-6.265 
1298,grgr,3,-8.405 
1299,lagu,40,-6.077 
1300,harris,4,-8.182 
1301,amal,3,-8.405 
1302,maksud,12,-7.226 
1303,nampak,4,-8.182 
1304,bilang,69,-5.542 
1305,corshair,3,-8.405 
1306,detik,11,-7.306 
1307,cantik,30,-6.357 
1308,contoh,5,-7.999 
1309,share,3,-8.405 
1310,tukang,41,-6.053 
1311,bisnis,3,-8.405 
1312,kpi,6,-7.845 
1313,die,3,-8.405 
1314,mulai,8,-7.594 
1315,ngorok,6,-7.845 
1316,berani,3,-8.405 
1317,shoot,5,-7.999 
1318,capsule,5,-7.999 
1319,bnyak,18,-6.847 
1320,cd,3,-8.405 
1321,putih,7,-7.711 
1322,mainin,4,-8.182 
1323,prank,18,-6.847 
1324,serasa,3,-8.405 
1325,rog,4,-8.182 
1326,kere,3,-8.405 
1327,batas,3,-8.405 
1328,wik,10,-7.393 
1329,koko,4,-8.182 
1330,omong,5,-7.999 
1331,miskin,11,-7.306 
1332,risa,4,-8.182 
1333,nontonnya,8,-7.594 
1334,salsha,3,-8.405 
1335,ngiriii,5,-7.999 
1336,transparan,3,-8.405 
1337,sariawannya,3,-8.405 
1338,laper,37,-6.153 
1339,tiru,3,-8.405 
1340,gantung,4,-8.182 
1341,cari,11,-7.306 
1342,simpan,5,-7.999 
1343,mantap,4,-8.182 
1344,hantu,4,-8.182 
1345,artis,17,-6.901 
1346,selesai,4,-8.182 
1347,daging,12,-7.226 
1348,goreng,3,-8.405 
1349,nambah,23,-6.613 
1350,pahala,6,-7.845 
1351,wkwkkw,5,-7.999 
1352,suka,84,-5.348 
1353,ultah,4,-8.182 
1354,mending,138,-4.856 
1355,bpk,3,-8.405 
1356,mesum,38,-6.127 
1357,hormat,3,-8.405 
1358,lewat,5,-7.999 
1359,bosen,12,-7.226 
1360,salsabila,4,-8.182 
1361,kucing,11,-7.306 
1362,kelaperan,5,-7.999 
1363,lucu,65,-5.601 
1364,cpt,8,-7.594 
1365,ingat,3,-8.405 
1366,jaman,13,-7.152 
1367,beliin,6,-7.845 
1368,wkwkwkkw,3,-8.405 
1369,lumpuh,3,-8.405 
1370,ganggu,10,-7.393 
1371,karya,4,-8.182 
1372,cepat,11,-7.306 
1373,babas,11,-7.306 
1374,asal,7,-7.711 
1375,cici,4,-8.182 
1376,ledak,3,-8.405 
1377,darah,3,-8.405 
1378,libur,5,-7.999 
1379,pro,4,-8.182 
1380,benda,3,-8.405 
1381,pke,27,-6.459 
1382,tuhan,5,-7.999 
1383,bagus,78,-5.421 
1384,nafsu,9,-7.488 
1385,aautap,3,-8.405 
1386,tarik,15,-7.018 
1387,bonus,8,-7.594 
1388,biarin,3,-8.405 
1389,well,3,-8.405 
1390,merah,14,-7.083 
1391,greget,5,-7.999 
1392,feli,7,-7.711 
1393,ampe,10,-7.393 
1394,wulan,3,-8.405 
1395,bencana,3,-8.405 
1396,jelek,98,-5.196 
1397,jual,9,-7.488 
1398,kenal,10,-7.393 
1399,njir,20,-6.746 
1400,endorse,4,-8.182 
1401,sapi,3,-8.405 
1402,kyknya,4,-8.182 
1403,samsolese,3,-8.405 
1404,sempet,4,-8.182 
1405,kameraman,3,-8.405 
1406,lebar,7,-7.711 
1407,sampe,31,-6.325 
1408,mandi,19,-6.795 
1409,pengap,6,-7.845 
1410,virus,3,-8.405 
1411,tangan,7,-7.711 
