nomor,word,frekuensi,ln
258,dikerjain,10,-7.313765692929498
259,ea,3,-8.325366604607979
260,pribadi,3,-8.325366604607979
261,barang,10,-7.313765692929498
262,beras,7,-7.632219424048032
263,bohong,21,-6.6206185123695525
264,bahasa,9,-7.409075872733823
265,tusuk,4,-8.102223053293768
266,mulu,46,-5.86151336401781
267,ruang,14,-7.003610764625659
268,hewan,7,-7.632219424048032
269,anjayyyy,4,-8.102223053293768
270,ldp,20,-6.667138528004446
271,ngerti,16,-6.878447621671652
272,diet,4,-8.102223053293768
273,beatbox,3,-8.325366604607979
274,bulan,12,-7.146711608266331
275,musik,5,-7.919901496499813
276,panik,4,-8.102223053293768
277,mh,4,-8.102223053293768
278,dibalikin,3,-8.325366604607979
279,dii,3,-8.325366604607979
280,nyaman,8,-7.514436388391649
281,sneakers,5,-7.919901496499813
282,yel,3,-8.325366604607979
283,parahh,3,-8.325366604607979
284,koment,3,-8.325366604607979
285,tuing,8,-7.514436388391649
286,sacha,3,-8.325366604607979
287,bicara,11,-7.226754315939868
288,yoora,3,-8.325366604607979
289,indra,4,-8.102223053293768
290,gratis,7,-7.632219424048032
291,beres,4,-8.102223053293768
292,forum,3,-8.325366604607979
293,grat,10,-7.313765692929498
294,alquran,3,-8.325366604607979
295,minum,13,-7.07260363611261
296,go,6,-7.765750816672555
297,putusin,4,-8.102223053293768
298,ujung,6,-7.765750816672555
299,sdh,4,-8.102223053293768
300,dn,10,-7.313765692929498
301,tutup,26,-6.415824099723539
302,ajak,5,-7.919901496499813
303,ancur,10,-7.313765692929498
304,sekolah,13,-7.07260363611261
305,cindy,4,-8.102223053293768
306,mag,5,-7.919901496499813
307,coba,23,-6.533607135379923
308,songong,10,-7.313765692929498
309,klau,5,-7.919901496499813
310,kardus,5,-7.919901496499813
311,rb,9,-7.409075872733823
312,bodo,13,-7.07260363611261
313,huhuhu,4,-8.102223053293768
314,andreas,7,-7.632219424048032
315,backsound,3,-8.325366604607979
316,marion,15,-6.939072243488087
317,cina,6,-7.765750816672555
318,lighstick,5,-7.919901496499813
319,paha,3,-8.325366604607979
320,mall,8,-7.514436388391649
321,dehhh,4,-8.102223053293768
322,hiya,3,-8.325366604607979
323,thailand,14,-7.003610764625659
324,cebok,11,-7.226754315939868
325,normal,4,-8.102223053293768
326,jiji,8,-7.514436388391649
327,full,3,-8.325366604607979
328,bacot,14,-7.003610764625659
329,untung,11,-7.226754315939868
330,tengah,17,-6.821289207831704
331,inti,6,-7.765750816672555
332,berat,9,-7.409075872733823
333,gempa,11,-7.226754315939868
334,rakus,173,-4.552605666513339
335,saranin,4,-8.102223053293768
336,bintang,4,-8.102223053293768
337,selingkuh,4,-8.102223053293768
338,jendela,3,-8.325366604607979
339,hp,11,-7.226754315939868
340,maaf,43,-5.927471331809607
341,senyum,3,-8.325366604607979
342,ngomong,84,-5.269009709237552
343,yuk,6,-7.765750816672555
