nomor,word,frekuensi,ln
1439,cahaya,4,-8.58088135109897
1440,sadar,7,-8.110877721853234
1441,kerudung,31,-6.724583360733344
1442,boro,4,-8.58088135109897
1443,gemar,3,-8.804024902413179
1444,mudah,15,-7.417730541293289
1445,ngilangin,4,-8.58088135109897
1446,kuda,3,-8.804024902413179
1447,dengar,7,-8.110877721853234
1448,iklan,7,-8.110877721853234
1449,anjing,98,-5.59519941339848
1450,can,4,-8.58088135109897
1451,felito,12,-7.625369906071533
1452,ngolok,3,-8.804024902413179
1453,rupiah,7,-8.110877721853234
1454,rayain,4,-8.58088135109897
1455,hoby,3,-8.804024902413179
1456,mansur,10,-7.7924239907347
1457,tour,34,-6.634971202043657
1458,cpt,4,-8.58088135109897
1459,kaget,10,-7.7924239907347
1460,hasil,14,-7.48226906243086
1461,sasa,9,-7.887734170539025
1462,turki,10,-7.7924239907347
1463,ajah,8,-7.993094686196851
1464,gantung,13,-7.551261933917812
1465,mountain,3,-8.804024902413179
1466,naik,32,-6.69381170206659
1467,pengennn,3,-8.804024902413179
1468,raih,3,-8.804024902413179
1469,langka,3,-8.804024902413179
1470,catherine,3,-8.804024902413179
1471,alay,8,-7.993094686196851
1472,ending,6,-8.244409114477756
1473,ngira,3,-8.804024902413179
1474,gratis,4,-8.58088135109897
1475,haram,7,-8.110877721853234
1476,kaca,5,-8.398559794305015
1477,grit,3,-8.804024902413179
1478,bajo,4,-8.58088135109897
1479,lazuardi,3,-8.804024902413179
1480,hay,4,-8.58088135109897
1481,baca,38,-6.526757617403423
1482,artis,20,-7.145796825809647
1483,hadju,3,-8.804024902413179
1484,vincent,19,-7.194586989979079
1485,chanell,5,-8.398559794305015
1486,kapten,18,-7.2458802843666295
1487,com,12,-7.625369906071533
1488,kakek,8,-7.993094686196851
1489,sangkut,3,-8.804024902413179
1490,pilih,13,-7.551261933917812
1491,komodo,6,-8.244409114477756
1492,tuli,3,-8.804024902413179
1493,dpt,7,-8.110877721853234
1494,army,17,-7.299947505636905
1495,amin,26,-6.894482397528741
1496,tinggal,96,-5.615608285029687
1497,misal,3,-8.804024902413179
1498,lokasi,9,-7.887734170539025
1499,temen,26,-6.894482397528741
1500,bgtt,8,-7.993094686196851
1501,jngan,4,-8.58088135109897
1502,tempat,76,-5.8465138416793865
1503,irpan,3,-8.804024902413179
1504,bli,5,-8.398559794305015
1505,eyang,75,-5.859585923246739
1506,tidur,17,-7.299947505636905
1507,buru,7,-8.110877721853234
1508,ruang,3,-8.804024902413179
1509,dingin,7,-8.110877721853234
1510,alias,3,-8.804024902413179
1511,nomor,16,-7.3571059194768536
1512,lucuuu,6,-8.244409114477756
1513,feb,6,-8.244409114477756
1514,sebar,3,-8.804024902413179
1515,varel,7,-8.110877721853234
1516,rb,8,-7.993094686196851
1517,cuk,3,-8.804024902413179
1518,dinding,4,-8.58088135109897
1519,prilly,63,-6.031436180173398
1520,kebal,5,-8.398559794305015
1521,ngumpul,4,-8.58088135109897
1522,kunjung,8,-7.993094686196851
1523,proses,5,-8.398559794305015
1524,jokowi,3,-8.804024902413179
1525,baper,31,-6.724583360733344
1526,asal,9,-7.887734170539025
1527,ngedit,4,-8.58088135109897
1528,instan,4,-8.58088135109897
1529,garagara,4,-8.58088135109897
