nomor,word,frekuensi,ln
238,lebayyy,4,-7.916
239,wuuuu,7,-7.446
240,belanja,38,-5.862
241,tambahboncabe,5,-7.734
242,standart,6,-7.579
243,jajan,5,-7.734
244,cumangasihtau,4,-7.916
245,news,24,-6.306
246,vagina,6,-7.579
247,hake,4,-7.916
248,kelam,40,-5.812
249,kakaaa,6,-7.579
250,hidung,13,-6.886
251,ivanna,21,-6.434
252,miska,4,-7.916
253,krama,10,-7.127
254,celupne,26,-6.230
255,nyusulnya,5,-7.734
256,acil,4,-7.916
257,twitter,7,-7.446
258,maho,16,-6.692
259,selaluuuu,8,-7.328
260,kondisi,5,-7.734
261,tumpah,5,-7.734
262,pke,4,-7.916
263,mehong,23,-6.347
264,pedesnya,6,-7.579
265,channelnya,5,-7.734
266,larak,18,-6.581
267,unfaedah,6,-7.579
268,nyelinkuhin,27,-6.193
269,ngamuk,215,-4.150
270,sneakers,4,-7.916
271,timbang,5,-7.734
272,gadel,8,-7.328
273,azplicueta,10,-7.127
274,lahap,4,-7.916
275,ekw,26,-6.230
276,kopeah,5,-7.734
277,idonggg,4,-7.916
278,kesi,53,-5.536
279,eluu,127,-4.673
280,dipke,15,-6.753
281,pameriiiiinnnnnnn,4,-7.916
282,kerusung,8,-7.328
283,bhsnya,83,-5.095
284,view,4,-7.916
285,core,4,-7.916
286,mikirr,9,-7.223
287,shaking,17,-6.635
288,ngolok,4,-7.916
289,anjerrr,15,-6.753
290,nyewa,9,-7.223
291,cacat,7,-7.446
292,prasmanan,12,-6.960
293,hendrawan,7,-7.446
294,ayah,10,-7.127
295,pascal,13,-6.886
296,diliatin,4,-7.916
297,macet,42,-5.764
298,akwakwakw,57,-5.465
299,yaela,4,-7.916
300,anthony,12,-6.960
301,duddudu,8,-7.328
302,unsubcribe,13,-6.886
303,hair,34,-5.970
304,bote,13,-6.886
305,distemper,4,-7.916
306,ngeroko,10,-7.127
307,keseeeeeeeeeeeeeeeeeeeeel,5,-7.734
308,basoooo,4,-7.916
309,yailah,8,-7.328
310,donkk,10,-7.127
311,akir,4,-7.916
312,maju,8,-7.328
313,ahhahahhahaha,4,-7.916
314,baget,5,-7.734
315,cabe,5,-7.734
316,sange,4,-7.916
317,kawin,35,-5.942
318,iiihhhhh,4,-7.916
319,sambong,7,-7.446
320,muji,11,-7.040
321,stay,4,-7.916
322,swt,5,-7.734
323,tawa,9,-7.223
324,yqng,6,-7.579
325,jisoo,11,-7.040
326,ajinnnnnnnmg,4,-7.916
327,ngakakaka,5,-7.734
328,asek,5,-7.734
329,clasustropoboa,5,-7.734
330,camera,6,-7.579
331,dipake,4,-7.916
332,dower,15,-6.753
333,jjj,10,-7.127
334,yaya,7,-7.446
335,alat,4,-7.916
336,pipis,8,-7.328
337,gadibawa,5,-7.734
338,asik,7,-7.446
339,pluitnya,5,-7.734
340,yabuy,20,-6.481
341,nonjok,7,-7.446
342,dipintaiin,4,-7.916
343,ayam,5,-7.734
344,cindy,5,-7.734
345,ngebawain,4,-7.916
346,maximal,5,-7.734
347,caci,6,-7.579
348,bstian,4,-7.916
349,snowbay,7,-7.446
350,anggap,4,-7.916
351,molak,4,-7.916
352,karya,4,-7.916
353,tamboy,8,-7.328
354,folowerx,4,-7.916
355,interprenter,12,-6.960
356,rel,17,-6.635
357,devil,9,-7.223
358,mizuno,4,-7.916
359,murka,15,-6.753
360,hatta,8,-7.328
361,kos,4,-7.916
362,anju,5,-7.734
363,ninggal,12,-6.960
364,mksud,5,-7.734
365,eupanya,18,-6.581
366,kang,21,-6.434
367,cull,5,-7.734
368,clarissa,8,-7.328
369,ladyboy,6,-7.579
370,mya,10,-7.127
371,barakallah,8,-7.328
372,bastian,12,-6.960
373,smbil,7,-7.446
374,halal,11,-7.040
375,sleding,22,-6.390
376,sumpaaah,9,-7.223
377,translator,4,-7.916
378,kecap,6,-7.579
379,gelap,19,-6.530
380,natasa,53,-5.536
381,cipok,8,-7.328
382,intip,5,-7.734
383,paranormal,10,-7.127
384,wkwkkwkww,4,-7.916
385,mesummm,5,-7.734
386,youtube,5,-7.734
387,brazzer,16,-6.692
388,bilangin,23,-6.347
389,ato,13,-6.886
390,nerima,4,-7.916
391,kenp,5,-7.734
392,pancasila,6,-7.579
393,wkekwk,15,-6.753
394,icah,24,-6.306
395,jorokk,7,-7.446
396,ytbnya,6,-7.579
397,pertalite,61,-5.398
398,cubby,4,-7.916
399,takut,8,-7.328
400,kocakk,29,-6.124
401,feli,11,-7.040
402,luuuu,5,-7.734
403,bapa,8,-7.328
404,lilin,7,-7.446
405,xd,9,-7.223
406,mukenya,6,-7.579
407,jauhin,5,-7.734
408,bungkus,10,-7.127
409,geforce,6,-7.579
410,uya,9,-7.223
411,ditunjukin,7,-7.446
412,tolong,11,-7.040
413,wkwkwkwkwkw,6,-7.579
414,kompeten,4,-7.916
415,joni,6,-7.579
416,ngebahagia,29,-6.124
417,gakniat,7,-7.446
418,diasamyang,18,-6.581
419,backlight,4,-7.916
420,njablayy,5,-7.734
421,hardddd,5,-7.734
422,bedul,6,-7.579
