nomor,word,frekuensi,ln
589,despacito,5,-7.604
590,jilbab,17,-6.506
591,mohon,5,-7.604
592,dipake,5,-7.604
593,bentar,9,-7.093
594,cinta,9,-7.093
595,bangkok,6,-7.450
596,renang,39,-5.707
597,pasang,8,-7.199
598,ajak,15,-6.623
599,mahasiswa,5,-7.604
600,lipstik,5,-7.604
601,ngakak,197,-4.108
602,edit,24,-6.177
603,yaallah,8,-7.199
604,lewat,20,-6.352
605,bakal,13,-6.757
606,canda,4,-7.787
607,cowok,8,-7.199
608,capsule,10,-6.998
609,gambar,4,-7.787
610,ketawa,39,-5.707
611,indosiar,5,-7.604
612,muslim,4,-7.787
613,subs,12,-6.831
614,baris,4,-7.787
615,tangan,13,-6.757
616,bayar,9,-7.093
617,teks,6,-7.450
618,ngak,6,-7.450
619,syuting,4,-7.787
620,kompak,8,-7.199
621,karet,4,-7.787
622,mahal,21,-6.305
623,cntik,6,-7.450
624,kunjung,9,-7.093
625,tengah,8,-7.199
626,tahu,8,-7.199
627,naik,25,-6.138
628,mulai,11,-6.911
629,rupiah,7,-7.317
630,ngerti,9,-7.093
631,bulan,27,-6.064
632,subcribe,6,-7.450
633,jomblo,9,-7.093
634,kemarin,7,-7.317
635,kering,10,-6.998
636,gantung,17,-6.506
637,pakai,31,-5.930
638,rahim,4,-7.787
639,nice,6,-7.450
640,aneh,12,-6.831
641,asik,9,-7.093
642,tutorial,20,-6.352
643,repot,5,-7.604
644,skincare,11,-6.911
645,negeri,9,-7.093
646,itte,13,-6.757
647,tipsnya,9,-7.093
648,bandung,9,-7.093
649,routine,5,-7.604
650,facial,23,-6.218
651,sabun,18,-6.452
652,sekian,10,-6.998
653,kamar,14,-6.688
654,lucuuu,5,-7.604
655,mulus,16,-6.563
656,cantikk,8,-7.199
657,lupa,18,-6.452
658,kakkk,15,-6.623
659,bosen,21,-6.305
660,harga,73,-5.092
661,penting,13,-6.757
662,konten,10,-6.998
663,lagu,126,-4.552
664,doain,5,-7.604
665,judul,68,-5.162
666,cewek,13,-6.757
667,cantik,236,-3.928
668,kerja,7,-7.317
669,kayak,88,-4.907
670,komen,19,-6.400
671,bawah,33,-5.870
672,ganteng,21,-6.305
673,allah,35,-5.813
674,salah,25,-6.138
675,artis,12,-6.831
676,nyanyi,17,-6.506
677,bareng,31,-5.930
678,bagus,96,-4.821
679,suka,154,-4.353
680,iklan,5,-7.604
681,sayang,24,-6.177
682,ketemu,27,-6.064
683,modal,5,-7.604
684,salfok,14,-6.688
685,video,193,-4.128
686,banyakin,14,-6.688
687,dmna,12,-6.831
688,cewe,10,-6.998
689,gokil,31,-5.930
690,smoga,8,-7.199
691,indonesia,35,-5.813
692,bahasa,15,-6.623
